index,time,lat,lon,east_cm,north_cm,quality
702,075317.75,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
703,075317.85,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
704,075317.95,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
705,075318.05,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
706,075318.15,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
707,075318.25,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
708,075318.35,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
709,075318.45,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
710,075318.55,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
711,075318.65,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
712,075318.75,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
713,075318.85,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
714,075318.95,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
715,075319.05,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
716,075319.15,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
717,075319.25,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
718,075319.35,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
719,075319.45,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
720,075319.55,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
721,075319.65,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
722,075319.75,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
723,075319.85,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
724,075319.95,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
725,075320.05,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
726,075320.15,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
727,075320.25,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
728,075320.35,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
729,075320.45,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
730,075320.55,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
731,075320.65,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
732,075320.75,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
733,075320.85,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
734,075320.95,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
735,075321.05,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
736,075321.15,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
737,075321.25,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
738,075321.35,37.30391616666667,127.90718383333333,0.670827775078046,-0.6980284842086348,4
739,075321.45,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
740,075321.55,37.303916,127.90718383333333,0.670827775078046,-2.553361812857702,4
741,075321.65,37.303916,127.90718383333333,0.670827775078046,-2.553361812857702,4
742,075321.75,37.30391616666667,127.90718383333333,0.670827775078046,-0.6980284842086348,4
743,075321.85,37.30391616666667,127.90718383333333,0.670827775078046,-0.6980284842086348,4
744,075321.95,37.30391616666667,127.90718383333333,0.670827775078046,-0.6980284842086348,4
745,075322.05,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
746,075322.15,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
747,075322.25,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
748,075322.35,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
749,075322.45,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
750,075322.55,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
751,075322.65,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
752,075322.75,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
753,075322.85,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
754,075322.95,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
755,075323.05,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
756,075323.15,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
757,075323.25,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
